Reporting Year,Licence Profile,Waste Source,Waste Action,List of Waste Code,Low Code Description,Respondent Waste Description,Accepted Waste Quantity,Accepted waste quantity from abroad,Accepted Waste Quantity from Ireland,On Site Waste Treatment Type,Waste Quantity Tonnes per Year,Next Destination Waste Treatment Type,Final Destination Abroad,Final Destination Waste Treatment Type
2024,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,15 01 01,paper and cardboard packaging,Paper and Cardboard Packaging ,38.62,0.0,38.62,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2024,Ashgrove Recycling - W0147,Accepted,Transferred,15 01 01,paper and cardboard packaging,Cardboard ,,,,,95.9,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,
2024,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,15 01 02,plastic packaging,Plastic Packaging ,0.42,0.0,0.42,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2024,Ashgrove Recycling - W0147,Accepted,Transferred,15 01 02,plastic packaging,plastic packaging,,,,,12.24,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,
2024,Ashgrove Recycling - W0147,Accepted,Transferred,15 01 03,wooden packaging,Wood packaging ,,,,,1.48,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,
2024,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,15 01 06,mixed packaging,Packaging,1217.68,0.0,1217.68,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2024,Ashgrove Recycling - W0147,Accepted,Transferred,15 01 06,mixed packaging,Mixed packaging ,,,,,0.6,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,
2024,Ashgrove Recycling - W0147,Accepted,Transferred,15 01 06,mixed packaging,Mixed packaging ,,,,,1181.6,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,
2024,Ashgrove Recycling - W0147,Waste Accepted,Waste Accepted,15 01 07,glass packaging,Glass Packaging,2154.0,0.0,2154.0,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,,,
2024,Ashgrove Recycling - W0147,Accepted,Transferred,15 01 07,glass packaging,Glass packaging,,,,,2205.34,"R13 - Storage of waste pending any of the operations numbered R1 to R12 (excluding temporary storage, pending collection, on the site where the waste is produced)",,
